版本,执行引擎,方案,分辨率,像素数,线程数,全局JIT预热次数,尺寸预热次数,正式次数,像素访问中位ms,灰度转换中位ms,统计或融合中位ms,归一化中位ms,合并中位ms,核心中位ms,P90ms,最差ms,最高频次,引擎标识
v2.0,Kotlin 单线程,优先灰度化,512×512,262144,1,20,5,10,0.486,32.792,6.401,0.041,不适用,39.840,40.908,41.443,262144,KOTLIN_V2
v3.0,Native Bitmap直读+多线程,优先灰度化,512×512,262144,8,20,5,10,0.000,0.536,0.502,0.040,0.000,1.086,1.377,1.561,262144,NATIVE_V3
v2.0,Kotlin 单线程,统计时灰度化,512×512,262144,1,20,5,10,0.510,不适用,32.931,0.041,不适用,34.245,35.692,38.723,262144,KOTLIN_V2
v3.0,Native Bitmap直读+多线程,统计时灰度化,512×512,262144,8,20,5,10,0.000,不适用,0.506,0.039,0.000,0.552,0.591,0.670,262144,NATIVE_V3
v2.0,Kotlin 单线程,优先灰度化,1440×1080,1555200,1,20,5,10,2.572,180.626,35.909,0.042,不适用,221.367,224.311,241.339,1555200,KOTLIN_V2
v3.0,Native Bitmap直读+多线程,优先灰度化,1440×1080,1555200,8,20,5,10,0.000,2.057,1.924,0.042,0.000,3.983,4.676,7.533,1555200,NATIVE_V3
v2.0,Kotlin 单线程,统计时灰度化,1440×1080,1555200,1,20,5,10,2.013,不适用,6.176,0.040,不适用,8.341,9.832,11.953,1555200,KOTLIN_V2
v3.0,Native Bitmap直读+多线程,统计时灰度化,1440×1080,1555200,8,20,5,10,0.000,不适用,1.988,0.040,0.000,2.035,2.097,2.879,1555200,NATIVE_V3
v2.0,Kotlin 单线程,优先灰度化,3072×4096,12582912,1,20,5,10,26.856,57.296,5.526,0.017,不适用,95.948,121.883,245.425,12582912,KOTLIN_V2
v3.0,Native Bitmap直读+多线程,优先灰度化,3072×4096,12582912,8,20,5,10,0.000,14.243,13.955,0.024,0.001,30.885,32.451,33.414,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,优先灰度化,3072×4096,12582912,1,20,5,10,0.000,14.154,13.658,0.011,0.000,32.349,37.356,59.435,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,优先灰度化,3072×4096,12582912,2,20,5,10,0.000,14.403,13.768,0.009,0.000,30.730,31.613,32.014,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,优先灰度化,3072×4096,12582912,4,20,5,10,0.000,15.134,14.112,0.012,0.001,31.533,47.979,71.861,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,优先灰度化,3072×4096,12582912,6,20,5,10,0.000,14.541,13.824,0.011,0.001,30.636,31.565,32.798,12582912,NATIVE_V3
v2.0,Kotlin 单线程,统计时灰度化,3072×4096,12582912,1,20,5,10,18.599,不适用,46.102,0.002,不适用,64.455,69.353,74.055,12582912,KOTLIN_V2
v3.0,Native Bitmap直读+多线程,统计时灰度化,3072×4096,12582912,8,20,5,10,0.000,不适用,15.032,0.007,0.001,15.067,16.305,16.475,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,统计时灰度化,3072×4096,12582912,1,20,5,10,0.000,不适用,14.682,0.007,0.000,14.715,15.056,22.285,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,统计时灰度化,3072×4096,12582912,2,20,5,10,0.000,不适用,14.977,0.009,0.000,15.037,15.153,35.604,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,统计时灰度化,3072×4096,12582912,4,20,5,10,0.000,不适用,14.795,0.006,0.000,14.830,14.913,15.078,12582912,NATIVE_V3
v3.0,Native 线程缩放实验,统计时灰度化,3072×4096,12582912,6,20,5,10,0.000,不适用,14.852,0.007,0.001,14.890,15.054,15.095,12582912,NATIVE_V3
